OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
1074,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,020500,089,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13089020500,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2394749.6875,7689.62505765876
1075,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950400,041,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22041950400,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,721082153.046875,172677.413529208
1076,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,380800,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031380800,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),420917.40625,2659.99638031859
1077,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,518600,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163518600,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1378730.9140625,5016.39953836792
1078,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,520400,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163520400,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),792026.97265625,3879.28415374045
1079,"Charleston, SC","Charleston, SC Renewal Community",Renewal Community,001500,019,45,SC,No,,Ms.,Patricia, ,Crawford, , ,Director,Dept. of Housing and Community Development,"75 Calhoun Street, Division 616", ,Charleston,SC,29401-3506,843-724-3766,843-965-4180,crawfordp@ci.charleston.sc.us,45019001500,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Charleston_RC&info1=Urban+Renewal+Community&ID=06334200001,None,631996.978515625,4093.06421402037
1080,"Oklahoma City, OK","Oklahoma City, OK Empowerment Zone",Empowerment Zone,104600,109,40,OK,No,,Mr.,Carl,D.,Friend, , ,Urban Redevelopment Specialist,City Planning Department,420 W. Main St.,Suite 900,Oklahoma City,OK,73102,405-297-2574,405-297-1631,carl.friend@okc.gov,40109104600,1990,Enterprise Community (Round I),Enterprise Community (Round I),"Enterprise Community (Round I) Ending 12-31-04;Empowerment Zone (Round III)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OK&community=Oklahoma_City_iii&info1=Round+III+EZ&ID=12902500001,Empowerment Zone (Round III),956959.375,3919.49852865748
1081,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,019500,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, , ,Director of Economic Development for the EZ/RC, ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101019500,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1297133.7109375,4632.29343651874
1082,"Atlanta, GA","Atlanta, GA Renewal Community",Renewal Community,006900,121,13,GA,No,,Mr.,Melvin,,Waldrop,,,Program Director,Atlanta Neighborhood Development Partnership,100 Peachtree Street NW,Suite 700,Atlanta,GA,30303,404-522-2637,404-523-4357,mwaldrop@andpi.org,13121006900,1990,None,None,Atlanta Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=GA&community=Atlanta_RC&info1=Urban+Renewal+Community&ID=09072600001,None,4518580.0390625,8253.29063461103
1083,"Syracuse, NY","Syracuse, NY Empowerment Zone",Empowerment Zone,004000,067,36,NY,No,,Mr.,Bill, ,Owens, , ,City of Syracuse,Department of Economic Development,233 E. Washington St.,"City Hall, Room 312",Syracuse,NY,13202,315-448-8108,315-448-8036,bowens@edsyracuse.com,36067004000,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Syracuse&info1=Round+III+EZ&ID=06334200001,Empowerment Zone (Round III),938353.2109375,5422.22076787978
1084,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,003700,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013003700,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,564722.00390625,4754.6531799464
1085,Tri County Indian Nations,Tri County Indian Nations Enterprise Community,Enterprise Community,988600,123,40,OK,No,, ,Chris, ,Fields, , , , ,P.O. Box 1524, ,Ada,OK,74820,580-310-2264,580-310-2286,tincdc@yahoo.com,40123988600,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/triindians.html,None,537539703.445313,142045.997317762
1086,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,013900,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079013900,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,356871.0703125,2527.07720325036
1087,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,014600,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079014600,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,753752.01953125,3597.94830503427
1088,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,510200,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163510200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1335782.6171875,4663.78855702911
1089,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950700,067,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22067950700,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,308404485.554688,99635.5317106721
1090,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,503600,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163503600,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1370758.58984375,6238.6805727731
1091,Bowling Green,Bowling Green Enterprise Community,Enterprise Community,010300,227,21,KY,No,,Ms.,Lisa, ,Ryan, , ,Director, ,P.O. Box 430, ,Bowling Green,KY,42102-0430,270-393-3658,502-393-3968,ryanl51@bgky.org,21227010300,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/bowling.html,None,3324024.0625,11939.4072700739
1092,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,660100,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031660100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,618362.5859375,3317.23463409709
1093,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,017400,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, , ,Director of Economic Development for the EZ/RC, ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101017400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,584346.98046875,3027.52793206285
1094,"El Paso, TX","El Paso, TX Empowerment Zone",Empowerment Zone,002100,141,48,TX,No,,Mrs,Phyllis,Caves,Rawley,CPC,CPC,Executive Director, ,201 East Main St.,Suite 603,El Paso,TX,79901,915-351-1680,915-351-1679,prawley@elpasoez.org,48141002100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TX&community=El+Paso&info1=Round+II+EZ&ID=48168000001,Empowerment Zone (Round II),2248850.67578125,6825.70441308964
1095,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,004900,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055004900,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,708552.1484375,3993.85845087388
1096,City of Deming,City of Deming Enterprise Community,Enterprise Community,986700,029,35,NM,No,,Mr.,John, ,Strand, , ,City Manager, ,P.O. Box 706, ,Deming,NM,88031,505-546-8848,505-546-6442,deming@cityofdeming.org,35029986700,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/deming.html,None,676297035.167969,174801.921263864
1097,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,520600,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163520600,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),890902.5078125,4266.68722587503
1098,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,520700,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163520700,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),1349355.12109375,5160.41984210872
1099,"Cleveland, OH","Cleveland, OH Empowerment Zone",Empowerment Zone,116400,035,39,OH,No,, ,Dryck, ,Bennett, , ,Assistant Director, ,3634 Euclid Avenue,Suite 200,Cleveland,OH,44115,216-664-4165,216-420-8522,DBennett@city.cleveland.oh.us,39035116400,1990,Enterprise Community (Round I),"Empowerment Zone (Round I) Beginning Jan. 1, 2000; Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round I)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cleveland&info1=Round+I+EZ&ID=39110400001,Empowerment Zone (Round I),1477426.16015625,5061.44927255345
1100,"Cleveland, OH","Cleveland, OH Empowerment Zone",Empowerment Zone,118100,035,39,OH,No,, ,Dryck, ,Bennett, , ,Assistant Director, ,3634 Euclid Avenue,Suite 200,Cleveland,OH,44115,216-664-4165,216-420-8522,DBennett@city.cleveland.oh.us,39035118100,1990,Enterprise Community (Round I),"Empowerment Zone (Round I) Beginning Jan. 1, 2000; Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round I)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cleveland&info1=Round+I+EZ&ID=39110400001,Empowerment Zone (Round I),619172.19921875,3270.72927496698
1101,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,514300,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163514300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2572295.328125,6722.73277631512
1102,"San Francisco, CA","San Francisco, CA Renewal Community",Renewal Community,012300,075,06,CA,No,,Mr.,Albert, ,Lerma, , ,Program Director, ,25 Van Ness Avenue,Suite 700,San Francisco,CA,94102,415-252-3134,415-252-3110,albert.lerma@sfgov.org,06075012300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=San_Francisco_RC&info1=Urban+Renewal+Community&ID=06334200001,None,295938.01171875,2284.17545676318
1103,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,009300,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013009300,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1093789.8828125,6244.0367419777
1104,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,501100,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163501100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,2287512.68359375,6970.59577144876
1105,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,270400,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031270400,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),1052704.69921875,3978.23359142318
1106,"Knoxville, TN","Knoxville, TN Empowerment Zone",Empowerment Zone,001100,093,47,TN,No,,Ms.,Jeanette, ,Kelleher, , ,Community Development Administrator,"Department of Development, Community Development Divisio",P.O. Box 1631, ,Knoxville,TN,37901,865-215-2120,865-215-2962,jkelleher@ci.knoxville.tn.us,47093001100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Knoxville_knoxcounty&info1=Round+II+EZ&ID=47101400001,Empowerment Zone (Round II),1118847.703125,4724.30595300616
1107,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,710100,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031710100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,383207.8671875,2569.49911796659
1108,"Knoxville, TN","Knoxville, TN Empowerment Zone",Empowerment Zone,002900,093,47,TN,No,,Ms.,Jeanette, ,Kelleher, , ,Community Development Administrator,"Department of Development, Community Development Divisio",P.O. Box 1631, ,Knoxville,TN,37901,865-215-2120,865-215-2962,jkelleher@ci.knoxville.tn.us,47093002900,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=TN&community=Knoxville_knoxcounty&info1=Round+II+EZ&ID=47101400001,Empowerment Zone (Round II),6167528.80078125,11934.9752511626
1109,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,990100,021,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22021990100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,650412202.722656,215293.019071571
1110,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,990200,021,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22021990200,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,858638119.640625,179466.900799198
1111,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,980300,025,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22025980300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,1104061587.44531,307551.75951939
1112,Northern Louisiana,Northern Louisiana Renewal Community,Renewal Community,950100,027,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22027950100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Northern_RC&info1=Rural+Renewal+Community&ID=06334200001,None,1037581620.53125,195574.223636388
1113,"Columbia/Sumter, SC","Columbia/Sumter, SC Empowerment Zone",Empowerment Zone,001500,079,45,SC,No,,Mr.,Milton, ,Smalls, , ,Executive Director,Department of Community Service,1225 Laurel St., ,Columbia,SC,29201,803-545-3336,803-733-8312,masmalls@columbiasc.net,45079001500,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Columbia_Sumter&info1=Round+II+EZ&ID=45037200001,Empowerment Zone (Round II),1584060.4765625,6217.93219170875
1114,"Columbia/Sumter, SC","Columbia/Sumter, SC Empowerment Zone",Empowerment Zone,000800,079,45,SC,No,,Mr.,Milton, ,Smalls, , ,Executive Director,Department of Community Service,1225 Laurel St., ,Columbia,SC,29201,803-545-3336,803-733-8312,masmalls@columbiasc.net,45079000800,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Columbia_Sumter&info1=Round+II+EZ&ID=45037200001,Empowerment Zone (Round II),1199440.96875,4462.32412287402
1115,"Flint, MI","Flint, MI Renewal Community",Renewal Community,000600,049,26,MI,No,,Ms.,Nancy, ,Jurkiewicz, , ,Corporate Manager, ,805 W. Welch Blvd., ,Flint,MI,48504,810-341-1499 ext.209,810-341-1182,njurkiewicz@cityofflint.com,26049000600,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Flint_RC&info1=Urban+Renewal+Community&ID=12902500001,None,2330507.99609375,6526.25500267588
1116,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,017201,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061017201,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),223575.8984375,1912.87003330721
1117,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,691200,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031691200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1831604.9375,5569.24668520682
1118,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,012200,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079012200,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,928798.4140625,3890.57356502465
1119,"Milwaukee, WI","Milwaukee, WI Renewal Community",Renewal Community,013600,079,55,WI,No,, , , , , ,Renewal Community Specialist,Urban Economic Development Association, ,161 W. Wisconsin Avenue,Suite 3166,Milwaukee,WI,53203,414-225-0550,414-224-0559,rc@uedawi.org,55079013600,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=WI&community=Milwaukee_RC&info1=Urban+Renewal+Community&ID=06334200001,None,723469.87109375,3514.07790118261
1120,"Minneapolis, MN","Minneapolis, MN Empowerment Zone",Empowerment Zone,001000,053,27,MN,No,,Mr.,Kim,W.,Havey, , ,Director, ,105 5th Avenue South,Room 200,Minneapolis,MN,55401,612-673-5016,612-673-5293,kim.havey@ci.minneapolis.mn.us,27053001000,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www.hud.gov/offices/cpd/economicdevelopment/programs/rc/tour/mn/minneapolisEZ/index.cfm,Empowerment Zone (Round II),2975224.4375,8121.80031165418
1121,"Baltimore, MD","Baltimore, MD Empowerment Zone",Empowerment Zone,180100,510,24,MD,No,,Ms.,Diane, ,Bell, , ,President/CEO, ,3 South Frederick Street,Suite 800,Baltimore,MD,21202,410-783-4400,410-783-0526,Dbell@ebmc.org,24510180100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MD&community=Baltimore&info1=Round+I+EZ&ID=24006600001,Empowerment Zone (Round I),551729.28125,2964.88448906561
1122,"Baltimore, MD","Baltimore, MD Empowerment Zone",Empowerment Zone,180300,510,24,MD,No,,Ms.,Diane, ,Bell, , ,President/CEO, ,3 South Frederick Street,Suite 800,Baltimore,MD,21202,410-783-4400,410-783-0526,Dbell@ebmc.org,24510180300,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MD&community=Baltimore&info1=Round+I+EZ&ID=24006600001,Empowerment Zone (Round I),474443.84765625,3113.1672007214
1123,"Columbia/Sumter, SC","Columbia/Sumter, SC Empowerment Zone",Empowerment Zone,001300,085,45,SC,No,,Mr.,Milton, ,Smalls, , ,Executive Director,Department of Community Service,1225 Laurel St., ,Columbia,SC,29201,803-545-3336,803-733-8312,masmalls@columbiasc.net,45085001300,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Columbia_Sumter&info1=Round+II+EZ&ID=45037200001,Empowerment Zone (Round II),4714404.4453125,11214.0441913646
1124,"Columbia/Sumter, SC","Columbia/Sumter, SC Empowerment Zone",Empowerment Zone,001500,085,45,SC,No,,Mr.,Milton, ,Smalls, , ,Executive Director,Department of Community Service,1225 Laurel St., ,Columbia,SC,29201,803-545-3336,803-733-8312,masmalls@columbiasc.net,45085001500,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=SC&community=Columbia_Sumter&info1=Round+II+EZ&ID=45037200001,Empowerment Zone (Round II),5059127.046875,9744.23202605935
1125,"Lawrence, MA","Lawrence, MA Renewal Community",Renewal Community,250400,009,25,MA,No,,Mr.,Frederick,T.,Carberry, , ,Economic Development Coordinator,Office of Planning and Development,147 Haverhill Street, ,Lawrence,MA,01840,978-794-5891 ext.144,978-683-4894,f_carberry@cityoflawrence.com,25009250400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Lawrence_RC&info1=Urban+Renewal+Community&ID=12902500001,None,633111.13671875,3537.40399765346
1126,"Baltimore, MD","Baltimore, MD Empowerment Zone",Empowerment Zone,030200,510,24,MD,No,,Ms.,Diane, ,Bell, , ,President/CEO, ,3 South Frederick Street,Suite 800,Baltimore,MD,21202,410-783-4400,410-783-0526,Dbell@ebmc.org,24510030200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MD&community=Baltimore&info1=Round+I+EZ&ID=24006600001,Empowerment Zone (Round I),871293.22265625,5250.18159147991
